name,model_year,color,fuel,origin,bi_license,gear_type,bi_glass,engine_power,speedometer,passenger_seat_no,bi_payment_option,status,previous_owner,bi_condition,bi_lock_system,bi_alert,bi_radio,bi_sunroof,bi_wheels,bi_seat_type,bi_cushion,price
كيا اوبتيما,2014,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,75000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,100000
كيا سورينتو,2007,سكني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2500,130000.0,8,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,60000
هونداي افانتي,2006,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,130000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,43500
بيجو 208,2014,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,38000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,لا يوجد,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,54000
بي ام دبليو x3,2015,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,38000.0,6,نقدا فقط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,205000
اوبل كورسا,2015,بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,123456.0,5,إمكانية التقسيط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,65000
مرسيدس C200,2014,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,50000.0,5,إمكانية التقسيط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,230000
فورد فيستا,2014,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,50000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,59000
نيسان باترول,2003,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,4500,56000.0,9,إمكانية التقسيط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,84000
فورد ترانزيت,2005,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2500,460000.0,8,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,75000
بيجو 206+,2012,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,460000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,39000
سكودا فابيا,2016,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,45000.0,5,نقدا فقط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,73000
